nom,id
Thebaudiere,1625
Tihouit,2510
Timoniere,1616
TNB Ev,1293
Torigne,6012
Touche Annette,1612
Touche Audienne,1279
Touche Champagne,6014
Touche Milon,1281
Touche sur Roche,4551
Touche Tizon,4554
Tournebride,1605
Triangle,1270
Trois Croix,4352
Trois Marches,1595
Tronchay,4355
Tregain,1568
Tregor,4382
Turbaniere,1256
Turmel,4365
Telegraphe,1565
Universite,4358
Uttenreuth,1553
Val Blanc,1252
Val d'Orson,3733
Vallon,1253
Vallee,3716
Vaugon,1245
Venecelle,1537
Verdais,1246
Verdaudais,3711
Verger,1530
Vern Eglise,1237
Vern La Touche,1532
Vert Buisson,2804
Veyettes,1524
Vezin Centre,1231
Victoire,2806
Victor Hugo,1526
Viennais,1528
Vieux Bourg,1214
Vieux Moulin,1204
Vigne,2854
Vilaine,1522
Village,1208
Village Collectivites,1201
Ville aux Archers,2844
Ville Noublee,1517
Villebois-Mareuil,2846
Villejean-Churchill,1513
Villejean-Universite,1203
Vincennes,1515
Violais,2827
Vitre Danton,1510
Vitre Foulon,2811
Vivier des Bois,1507
Vivier Louis,1501
Vizeule,1189
Volney,1502
Voltaire,1190
ZA Bourgbarre,1191
ZA L'Hermitiere,1173
ZA Le Rachat,1174
ZA Saint-Sulpice,2274
ZI Ouest,2276
